 Descriptor,Time,Date,Day of Week,Police Report,Lighting Conditions,Municipality,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Traffic Control Device,Road Surface Conditions,Pedestrian Bicyclist Action,Event Descriptor,Number of Vehicles Involved 
 Damage Accident,14:45,11/07/2014,Friday,Y,Daylight,WARWICK,REAR END,ORANGE,Straight and Level,Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,16:25,11/10/2014,Monday,Y,Daylight,NEW YORK,OTHER,NEW YORK,Straight and Level,Clear,Traffic Signal,Dry,Riding/Walking/Skating Along Highway With Traffic,"Bicyclist, Collision With",1
 Damage Accident,3:19,03/07/2014,Friday,Y,Dark-Road Lighted,COLD SPRING,OTHER,PUTNAM,Curve and Level,Clear,None,Dry,Not Applicable,"Animal, Collision With",1
 Damage Accident,7:28,10/09/2014,Thursday,Y,Daylight,SMITHTOWN,OTHER,SUFFOLK,Curve and Grade,Clear,None,Dry,Not Applicable,"Fence, Collision With Fixed Object",1
 Damage & Injury Accident,5:44,09/03/2014,Wednesday,Y,Dawn,LOUISVILLE,OTHER,ST. LAWRENCE,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Damage Accident,23:27,05/08/2014,Thursday,Y,Dark-Road Unlighted,MILO,OTHER,YATES,Straight and Grade,Cloudy,None,Dry,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
 Accident,8:00,10/06/2014,Monday,Y,Daylight,QUEENS,OTHER,QUEENS,Straight and Grade,Clear,Traffic Signal,Dry,Unknown,"Pedestrian, Collision With",1
 Damage & Injury Accident,18:50,03/05/2014,Wednesday,Y,Dark-Road Lighted,BRONX,REAR END,BRONX,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,23:36,09/19/2014,Friday,N,Unknown,BRONX,REAR END,BRONX,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,17:49,02/03/2014,Monday,Y,Dark-Road Unlighted,CHATHAM,REAR END,COLUMBIA,Straight and Level,Cloudy,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,13:30,08/11/2014,Monday,Y,Daylight,KINGS,Unknown,KINGS,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,8:35,03/26/2014,Wednesday,Y,Daylight,GREECE,REAR END,MONROE,Straight and Level,Cloudy,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,18:20,02/21/2014,Friday,Y,Dusk,QUEENS,OTHER,QUEENS,Straight and Grade,Rain,Traffic Signal,Wet,"Crossing, With Signal","Pedestrian, Collision With",1
 Accident,16:30,08/25/2014,Monday,Y,Daylight,BROOKHAVEN,OTHER,SUFFOLK,Straight and Level,Clear,None,Dry,Riding/Walking/Skating Along Highway With Traffic,"Bicyclist, Collision With",1
 Accident,18:00,07/10/2014,Thursday,Y,Daylight,NEW YORK,OTHER,NEW YORK,Straight and Level,Clear,Traffic Signal,Dry,"Crossing, Against Signal","Pedestrian, Collision With",1
 Damage & Injury Accident,7:55,03/31/2014,Monday,Y,Daylight,CEDARHURST,OTHER,NASSAU,Straight and Level,Snow,Traffic Signal,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,23:10,07/12/2014,Saturday,Y,Dark-Road Lighted,BABYLON,OVERTAKING,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,14:30,01/29/2014,Wednesday,Y,Daylight,EAST GREENBUSH,RIGHT ANGLE,RENSSELAER,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,13:26,04/16/2014,Wednesday,Y,Daylight,ROME,LEFT TURN (3),ONEIDA,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,22:45,03/28/2014,Friday,Y,Dark-Road Lighted,ISLIP,RIGHT ANGLE,SUFFOLK,Straight and Level,Clear,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,9:19,04/09/2014,Wednesday,Y,Daylight,ISLIP,REAR END,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,8:02,09/10/2014,Wednesday,Y,Daylight,UTICA,REAR END,ONEIDA,Straight and Grade,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,10:40,02/14/2014,Friday,Y,Daylight,SYRACUSE,LEFT TURN (3),ONONDAGA,Straight and Level,Snow,Traffic Signal,Slush,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,10:15,07/31/2014,Thursday,Y,Daylight,AMHERST,REAR END,ERIE,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,14:40,04/03/2014,Thursday,N,Unknown,NEW CASTLE,RIGHT TURN (5),WESTCHESTER,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,2:00,06/08/2014,Sunday,Y,Dark-Road Lighted,HYDE PARK,OTHER,DUTCHESS,Straight and Level,Clear,No Passing Zone,Dry,Not Applicable,"Ran Off Roadway Only, Non-Collision",1
 Damage Accident,21:20,04/04/2014,Friday,Y,Dark-Road Lighted,BRIGHTON,RIGHT ANGLE,MONROE,Straight and Level,Rain,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,16:40,09/12/2014,Friday,Y,Daylight,NEW YORK,Unknown,NEW YORK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:51,05/16/2014,Friday,Y,Daylight,EAST HAMPTON,OVERTAKING,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,6:28,09/17/2014,Wednesday,Y,Dawn,GROTON,OTHER,TOMPKINS,Straight and Grade,Cloudy,No Passing Zone,Dry,Not Applicable,Deer,1
 Damage Accident,16:00,06/13/2014,Friday,N,Unknown,NORTH HILLS,REAR END,NASSAU,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,0:00,12/06/2014,Saturday,N,Daylight,CLIFTON PARK,OTHER,SARATOGA,Straight and Level,Rain,None,Wet,Not Applicable,"Other Fixed Object*, Collision With Fixed Object",1
 Damage & Injury Accident,9:15,10/19/2014,Sunday,Y,Daylight,TUXEDO,OTHER,ORANGE,Curve and Grade,Clear,No Passing Zone,Dry,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
 Damage Accident,13:29,09/02/2014,Tuesday,Y,Daylight,COLONIE,OVERTAKING,ALBANY,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,7:48,02/07/2014,Friday,Y,Daylight,QUEENS,RIGHT ANGLE,QUEENS,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,13:26,05/03/2014,Saturday,Y,Daylight,BEACON,OVERTAKING,DUTCHESS,Curve and Level,Clear,No Passing Zone,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,23:40,02/03/2014,Monday,Y,Dark-Road Lighted,OYSTER BAY,OTHER,NASSAU,Straight and Level,Cloudy,None,Snow/Ice,Not Applicable,"Other Object (Not Fixed)*, Collision With",1
 Accident,16:27,12/26/2014,Friday,Y,Daylight,BUFFALO,OTHER,ERIE,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,9:31,03/24/2014,Monday,Y,Daylight,DRYDEN,OTHER,TOMPKINS,Curve and Level,Snow,None,Snow/Ice,Not Applicable,"Light Support/Utility Pole, Collision With Fixed Object",1
 Damage & Injury Accident,9:45,10/27/2014,Monday,Y,Daylight,WAWAYANDA,REAR END,ORANGE,Straight and Grade,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,12:30,11/17/2014,Monday,Y,Daylight,QUEENS,OTHER,QUEENS,Straight and Level,Unknown,None,Wet,Not Applicable,"Other Fixed Object*, Collision With Fixed Object",1
 Damage & Injury Accident,17:45,05/27/2014,Tuesday,Y,Daylight,BROOKHAVEN,REAR END,SUFFOLK,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,17:56,01/08/2014,Wednesday,Y,Dark-Road Lighted,HEMPSTEAD,REAR END,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,11:14,03/19/2014,Wednesday,Y,Daylight,LAFAYETTE,OTHER,ONONDAGA,Straight and Grade,Cloudy,None,Dry,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
 Accident,15:51,05/24/2014,Saturday,Y,Daylight,ROCHESTER,REAR END,MONROE,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,15:23,06/14/2014,Saturday,Y,Daylight,ROCHESTER,RIGHT ANGLE,MONROE,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,7:18,02/24/2014,Monday,Y,Daylight,GUILDERLAND,OVERTAKING,ALBANY,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,9:10,02/20/2014,Thursday,Y,Daylight,HOMER,OTHER,CORTLAND,Curve at Hill Crest,Clear,None,Snow/Ice,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
 Accident,17:00,01/28/2014,Tuesday,Y,Daylight,BRONX,RIGHT ANGLE,BRONX,Straight and Level,Clear,Stop Sign,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,7:36,05/10/2014,Saturday,Y,Dark-Road Lighted,CARMEL,REAR END,PUTNAM,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,1:39,12/19/2014,Friday,Y,Dark-Road Unlighted,BERGEN,OTHER,GENESEE,Straight and Level,Snow,No Passing Zone,Wet,Not Applicable,Deer,1
 Accident,17:30,09/13/2014,Saturday,Y,Dusk,NEW YORK,Unknown,NEW YORK,Straight and Level,Cloudy,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,17:00,08/09/2014,Saturday,N,Unknown,LANCASTER,OTHER,ERIE,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other*, Non-Collision",1
 Damage Accident,14:50,05/25/2014,Sunday,Y,Daylight,HEMPSTEAD,REAR END,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,21:55,08/05/2014,Tuesday,Y,Dark-Road Lighted,MIDDLETOWN,OTHER,DELAWARE,Curve and Level,Rain,No Passing Zone,Wet,Not Applicable,"Other Fixed Object*, Collision With Fixed Object",1
 Damage Accident,23:50,12/14/2014,Sunday,Y,Dark-Road Lighted,HEMPSTEAD,OVERTAKING,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,11:00,04/22/2014,Tuesday,Y,Daylight,UTICA,REAR END,ONEIDA,Straight and Level,Rain,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,15:25,03/26/2014,Wednesday,Y,Daylight,NORTH HEMPSTEAD,OTHER,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,14:40,07/01/2014,Tuesday,Y,Daylight,ALBANY,REAR END,ALBANY,Curve and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,20:50,11/17/2014,Monday,N,Unknown,QUEENS,Unknown,QUEENS,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,14:46,07/25/2014,Friday,Y,Daylight,TROY,RIGHT ANGLE,RENSSELAER,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,19:44,11/05/2014,Wednesday,Y,Dark-Road Unlighted,GOSHEN,REAR END,ORANGE,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,21:01,08/30/2014,Saturday,Y,Dark-Road Lighted,AMSTERDAM,LEFT TURN (3),MONTGOMERY,Straight and Grade,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,16:40,08/31/2014,Sunday,Y,Daylight,HEMPSTEAD,REAR END,NASSAU,Straight and Level,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,15:17,10/27/2014,Monday,Y,Daylight,GATES,REAR END,MONROE,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,23:22,04/21/2014,Monday,Y,Dark-Road Lighted,NEW YORK,Unknown,NEW YORK,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,9:15,06/15/2014,Sunday,N,Daylight,GERMANTOWN,Unknown,COLUMBIA,Unknown,Clear,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:10,09/20/2014,Saturday,Y,Daylight,EASTCHESTER,OTHER,WESTCHESTER,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:00,06/17/2014,Tuesday,Y,Daylight,BROOKHAVEN,OTHER,SUFFOLK,Curve and Level,Cloudy,None,Dry,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
 Damage Accident,12:12,08/06/2014,Wednesday,Y,Daylight,NORTH GREENBUSH,SIDESWIPE,RENSSELAER,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,21:45,01/12/2014,Sunday,Y,Dark-Road Unlighted,MINISINK,OTHER,ORANGE,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Damage Accident,0:52,11/29/2014,Saturday,Y,Dark-Road Unlighted,STEPHENTOWN,OTHER,RENSSELAER,Straight and Level,Clear,None,Wet,Not Applicable,Deer,1
 Damage Accident,15:30,01/21/2014,Tuesday,N,Unknown,SCARSDALE,OVERTAKING,WESTCHESTER,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,17:02,02/02/2014,Sunday,Y,Dusk,ALMA,OTHER,ALLEGANY,Straight and Level,Rain,None,Snow/Ice,Not Applicable,"Tree, Collision With Fixed Object",1
 Damage & Injury Accident,11:13,01/21/2014,Tuesday,Y,Daylight,WHITE PLAINS,Unknown,WESTCHESTER,Straight and Level,Snow,None,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,12:10,11/07/2014,Friday,Y,Daylight,QUEENS,REAR END,QUEENS,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,14:35,08/30/2014,Saturday,Y,Daylight,KINGS,OTHER,KINGS,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",4
 Damage Accident,4:30,12/07/2014,Sunday,Y,Dark-Road Lighted,QUEENS,OTHER,QUEENS,Straight and Level,Cloudy,Traffic Signal,Wet,Not Applicable,"Median - End, Collision With Fixed Object",1
 Damage & Injury Accident,15:30,11/27/2014,Thursday,Y,Dusk,NEW YORK,Unknown,NEW YORK,Straight and Level,Cloudy,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,16:20,05/21/2014,Wednesday,Y,Daylight,NORTH HEMPSTEAD,RIGHT ANGLE,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,17:05,03/10/2014,Monday,N,Unknown,HAMBURG,Unknown,ERIE,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,8:30,07/29/2014,Tuesday,N,Unknown,QUEENS,REAR END,QUEENS,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,10:15,02/10/2014,Monday,Y,Daylight,BUFFALO,Unknown,ERIE,Curve and Level,Clear,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,11:04,02/14/2014,Friday,N,Daylight,QUEENS,SIDESWIPE,QUEENS,Straight and Level,Clear,Unknown,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,14:00,08/07/2014,Thursday,N,Daylight,ALBANY,RIGHT TURN (5),ALBANY,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,14:20,02/03/2014,Monday,Y,Daylight,HEMPSTEAD,OTHER,NASSAU,Straight and Level,Snow,None,Snow/Ice,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
 Damage Accident,22:30,10/27/2014,Monday,Y,Dark-Road Lighted,NORTH HEMPSTEAD,OVERTAKING,NASSAU,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:37,03/03/2014,Monday,Y,Daylight,GLENS FALLS,REAR END,WARREN,Straight and Level,Clear,None,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,4:43,09/17/2014,Wednesday,Y,Dark-Road Unlighted,KENT,OTHER,PUTNAM,Curve and Grade,Clear,None,Dry,Not Applicable,"Guide Rail - End, Collision With Fixed Object",1
 Accident,9:30,06/28/2014,Saturday,Y,Daylight,NEW YORK,OTHER,NEW YORK,Straight and Level,Clear,Traffic Signal,Dry,"Crossing, Against Signal","Pedestrian, Collision With",1
 Accident,15:00,04/13/2014,Sunday,N,Unknown,BRONX,REAR END,BRONX,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,18:20,03/20/2014,Thursday,N,Unknown,QUEENS,Unknown,QUEENS,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,0:00,04/25/2014,Friday,N,Daylight,QUEENS,Unknown,QUEENS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,15:31,10/31/2014,Friday,Y,Daylight,JAMESTOWN,RIGHT TURN (5),CHAUTAUQUA,Straight and Level,Cloudy,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,13:41,09/05/2014,Friday,Y,Daylight,GOSHEN,REAR END,ORANGE,Straight and Level,Cloudy,Yield Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,17:00,03/13/2014,Thursday,Y,Daylight,OYSTER BAY,OTHER,NASSAU,Straight and Level,Clear,None,Dry,"Crossing, No Signal or Crosswalk","Pedestrian, Collision With",1
 Accident,7:54,08/26/2014,Tuesday,Y,Daylight,QUEENS,REAR END,QUEENS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,1:48,09/07/2014,Sunday,Y,Dark-Road Unlighted,MANCHESTER,OTHER,ONTARIO,Straight and Level,Cloudy,None,Dry,Not Applicable,"Animal, Collision With",1
 Damage Accident,20:00,03/22/2014,Saturday,N,Dark-Road Unlighted,NEWARK VALLEY,OTHER,TIOGA,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Damage Accident,0:00,12/01/2014,Monday,N,Daylight,NEW YORK,Unknown,NEW YORK,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,20:55,03/28/2014,Friday,Y,Dark-Road Unlighted,CLAY,HEAD ON,ONONDAGA,Curve and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,13:41,05/17/2014,Saturday,Y,Daylight,KINGS,OTHER,KINGS,Straight and Level,Clear,None,Dry,Riding/Walking/Skating Along Highway With Traffic,"Bicyclist, Collision With",1
 Accident,15:27,06/13/2014,Friday,N,Unknown,ISLANDIA,Unknown,SUFFOLK,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,16:32,08/04/2014,Monday,Y,Daylight,CAYUGA HEIGHTS,REAR END,TOMPKINS,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,20:05,11/25/2014,Tuesday,Y,Dark-Road Lighted,ELLICOTT,OTHER,CHAUTAUQUA,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Object (Not Fixed)*, Collision With",1
 Accident,14:00,10/03/2014,Friday,Y,Daylight,KINGS,OTHER,KINGS,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,15:20,01/09/2014,Thursday,Y,Daylight,SARATOGA SPRINGS,RIGHT ANGLE,SARATOGA,Straight and Level,Clear,Stop Sign,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,23:15,04/06/2014,Sunday,Y,Dark-Road Lighted,KINGS,OTHER,KINGS,Curve and Grade,Clear,None,Dry,Not Applicable,"Other Fixed Object*, Collision With Fixed Object",1
 Damage Accident,15:30,08/11/2014,Monday,Y,Daylight,TONAWANDA,OTHER,GENESEE,Straight and Grade,Clear,None,Dry,Not Applicable,Deer,1
 Accident,13:00,10/18/2014,Saturday,Y,Daylight,QUEENS,REAR END,QUEENS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,12:15,05/17/2014,Saturday,Y,Daylight,QUEENS,OTHER,QUEENS,Straight and Level,Clear,Unknown,Dry,"Crossing, With Signal","Pedestrian, Collision With",1
 Damage Accident,23:30,02/14/2014,Friday,Y,Dark-Road Lighted,QUEENS,OTHER,QUEENS,Straight and Level,Clear,None,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,10:00,06/26/2014,Thursday,Y,Daylight,COEYMANS,OTHER,ALBANY,Straight and Grade,Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,7:20,06/20/2014,Friday,Y,Daylight,QUEENS,RIGHT ANGLE,QUEENS,Straight and Level,Cloudy,Stop Sign,Dry,Not Applicable,"Fence, Collision With Fixed Object",2
 Damage & Injury Accident,13:30,01/03/2014,Friday,Y,Daylight,QUEENS,OTHER,QUEENS,Curve and Level,Clear,None,Snow/Ice,Other Actions in Roadway,"Other Motor Vehicle, Collision With",2
 Accident,16:35,10/13/2014,Monday,Y,Daylight,NEW YORK,Unknown,NEW YORK,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,15:29,03/06/2014,Thursday,Y,Daylight,HEMPSTEAD,OVERTAKING,NASSAU,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,18:28,02/28/2014,Friday,Y,Dark-Road Unlighted,,OTHER,ONTARIO,Straight and Level,Cloudy,None,Dry,Not Applicable,Deer,1
 Accident,9:54,04/23/2014,Wednesday,Y,Daylight,TONAWANDA,REAR END,ERIE,Straight and Level,Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,17:53,08/22/2014,Friday,Y,Daylight,PENFIELD,OTHER,MONROE,Straight and Grade,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,15:35,02/14/2014,Friday,Y,Daylight,PERTH,OTHER,FULTON,Straight and Level,Cloudy,No Passing Zone,Snow/Ice,Not Applicable,"Tree, Collision With Fixed Object",1
 Damage & Injury Accident,17:29,11/13/2014,Thursday,Y,Dark-Road Lighted,NIAGARA FALLS,SIDESWIPE,NIAGARA,Straight and Level,Cloudy,None,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,5:39,11/15/2014,Saturday,N,Unknown,BRONX,Unknown,BRONX,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,7:30,08/22/2014,Friday,Y,Daylight,CAMDEN,LEFT TURN (3),ONEIDA,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,3:30,08/06/2014,Wednesday,Y,Dark-Road Unlighted,SOUTHEAST,OTHER,PUTNAM,Curve at Hill Crest,Clear,No Passing Zone,Dry,Not Applicable,"Sign Post, Collision With Fixed Object",1
 Damage Accident,19:34,01/04/2014,Saturday,Y,Dark-Road Unlighted,MINA,OTHER,CHAUTAUQUA,Straight and Grade,Cloudy,None,Dry,Not Applicable,Deer,1
 Damage Accident,17:30,02/04/2014,Tuesday,Y,Dark-Road Lighted,ISLIP,REAR END,SUFFOLK,Straight and Grade,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,4:26,01/09/2014,Thursday,Y,Dark-Road Unlighted,GLENVILLE,OTHER,SCHENECTADY,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Accident,6:15,01/14/2014,Tuesday,Y,Dawn,BRONX,OTHER,BRONX,Straight and Level,Rain,Traffic Signal,Wet,"Crossing, With Signal","Pedestrian, Collision With",1
 Damage Accident,15:30,12/25/2014,Thursday,N,Daylight,HEMPSTEAD,Unknown,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,18:18,09/04/2014,Thursday,Y,Daylight,NISKAYUNA,REAR END,SCHENECTADY,Straight and Grade,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,22:48,06/05/2014,Thursday,Y,Dark-Road Lighted,PATCHOGUE,REAR END,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,9:30,05/31/2014,Saturday,Y,Daylight,ISLIP,RIGHT ANGLE,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,21:48,01/02/2014,Thursday,Y,Dark-Road Unlighted,,OTHER,ORANGE,Straight and Level,Snow,None,Snow/Ice,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
 Accident,10:30,02/02/2014,Sunday,Y,Daylight,NEW YORK,OTHER,NEW YORK,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,4:28,12/15/2014,Monday,Y,Dark-Road Unlighted,SAND LAKE,OTHER,RENSSELAER,Curve and Grade,Clear,None,Snow/Ice,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
 Accident,9:40,01/28/2014,Tuesday,Y,Daylight,KINGS,OTHER,KINGS,Straight and Level,Clear,Traffic Signal,Dry,"Crossing, With Signal","Pedestrian, Collision With",1
 Damage Accident,6:52,06/10/2014,Tuesday,Y,Daylight,IRONDEQUOIT,OTHER,MONROE,Straight at Hill Crest,Cloudy,None,Dry,Not Applicable,Deer,1
 Damage Accident,19:15,06/29/2014,Sunday,Y,Daylight,NORTH ELBA,RIGHT ANGLE,ESSEX,Straight and Level,Clear,No Passing Zone,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
